"cnpj","nome_coop","auditorIndependente"
71432926,"COOPERATIVA DE CREDITO DOS PROFISSIONAIS DE SAUDE DO TRIANGULO MINEIRO E SUL DE MINAS LTDA.-UNICRED PROGRESSO","SACHO - AUDITORES INDEPENDENTES"
27302181,"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","HUGO FRANCISCO SACHO"
4281182,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO","MOORE PRISMA AUDITORES INDEPENDENTES"
73254757,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO","MOORE PRISMA AUDITORES INDEPENDENTES"
63229629,"COOPERATIVA DE CREDITO RURAL ASCOOB SISAL","IDERALDO LUIZ AGOSTINHO DE MORAES"
5220232,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONEXÕES -CRESOL CONEXÕES","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
5220243,"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
32422628,"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
8240446,"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
26563270,"COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE","FABIO EDUARDO DE ALMEIDA BAUER"
3485130,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL  CRESOL ENCOSTAS DA SERRA GERAL","MOORE PRISMA AUDITORES INDEPENDENTES"
7958405,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE RIO FORTUNA - CRESOL RIO FORTUNA","MOORE PRISMA AUDITORES INDEPENDENTES"
9488496,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE SÃO JOÃO DO SUL - CRESOL SÃO JOÃO DO SUL","MOORE PRISMA AUDITORES INDEPENDENTES"
9330158,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE TREZE DE MAIO - CRESOL TREZE DE MAIO","MOORE PRISMA AUDITORES INDEPENDENTES"
5428587,"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS","MOORE PRISMA AUDITORES INDEPENDENTES"
82639451,"COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
70038237,"COOPERATIVA DE CRÉDITO - SICREDI RIO GRANDE DO NORTE","ERNST & YOUNG AUDITORES INDEPENDENTES S/S"
42873828,"COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
21110927,"COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED","MOORE PRISMA AUDITORES INDEPENDENTES"
44401800,"COOPERATIVA DE CRÉDITO COGEM","PADRAO AUDITORIA S/S"
11969853,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DA COSTA OESTE - CRESOL COSTA OESTE","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES"
4490531,"COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE GOIÁS - CRESOL GOIÁS","ANEND AUDITORES INDEPENDENTES"
